,title,deal_rating,mileage,price,stock_type,location
1304,2015 Kia Soul !,Fair Deal,"116,513 mi.","$11,995",Used,"Scottsbluff, NE"
1305,2024 BMW 840 i,Good Deal,"5,141 mi.","$82,998
$1,000 price drop",Used,"Huntsville, AL"
1306,2013 Chrysler Town & Country Touring,Good Deal,"126,837 mi.","$9,000",Used,"Louisville, KY"
1307,2004 Mercedes-Benz CLK-Class CLK320,Great Deal,"113,589 mi.","$4,499",Used,"Houston, TX"
1308,2013 Nissan Sentra S,Great Deal,"57,602 mi.","$8,990",Used,"Missoula, MT"
1309,2015 Scion tC,Fair Deal,"134,912 mi.","$12,990",Used,"Columbia, SC"
1310,2019 Kia Sorento LX,Great Deal,"79,174 mi.","$16,888",Used,"Staunton, VA"
1311,2021 Dodge Challenger R/T Scat Pack,Great Deal,"10,703 mi.","$47,999",Used,"Bridgeport, WV"
1312,2021 Porsche Macan GTS,Fair Deal,"49,638 mi.","$64,991",Used,"Boise, ID"
1313,2023 Toyota RAV4 Hybrid LE,Good Deal,"18,180 mi.","$28,500
$2,691 price drop",Used,"Roswell, GA"
1314,2014 Audi TTS 2.0T,Good Deal,"83,334 mi.","$21,000",Used,"Chantilly, VA"
1315,2011 BMW 128 i,Good Deal,"114,000 mi.","$12,000",Used,"Hollis, NY"
1316,2019 Toyota Sequoia SR5,Good Deal,"161,288 mi.","$26,879
$500 price drop",Used,"Asheville, NC"
1317,2021 GMC Yukon XL SLT,Good Deal,"37,794 mi.","$57,759",Used,"Utica, NY"
1318,2008 INFINITI QX56 Base,Good Deal,"123,569 mi.","$8,995",Used,"Somerville, NJ"
1319,2021 BMW X3 PHEV xDrive30e,Good Deal,"31,994 mi.","$34,122
$1,700 price drop",Used,"Glenmont, NY"
1320,2019 Mitsubishi Outlander SEL,Good Deal,"76,965 mi.","$15,500",Used,"Lafayette, IN"
1321,2013 BMW 128 128i,Great Deal,"53,697 mi.","$16,995",Used,"Wall Township, NJ"
